"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8553,1196,132,119,0,0,0,0
2,8134,1304,253,238,35,0,36,0
3,7580,1557,358,326,85,1,93,0
4,6929,1801,483,449,145,12,181,0
5,6175,2112,594,548,229,26,314,2
6,5599,2171,698,662,307,69,486,8
7,5014,2138,834,823,386,105,685,15
8,4246,2316,921,893,516,133,939,36
9,3540,2359,1018,983,624,192,1225,59
10,2964,2312,1005,1054,758,240,1573,94
11,2464,2116,1032,1138,845,305,1961,139
12,2050,1909,1081,1143,942,370,2309,196
13,1748,1657,1047,1109,994,461,2720,264
14,1479,1421,1009,1023,1063,501,3148,356
15,1214,1223,901,977,1052,571,3608,454
16,990,1059,820,885,1045,602,4013,586
17,833,901,745,782,985,650,4396,708
18,709,735,685,670,961,655,4725,860
19,597,607,575,594,871,680,5094,982
20,528,492,466,495,802,678,5417,1122
21,456,391,404,442,693,659,5689,1266
22,390,321,340,390,593,616,5942,1408
23,334,273,270,326,541,535,6175,1546
24,308,202,247,263,504,473,6338,1665
25,272,163,196,217,439,436,6505,1772
26,237,137,163,174,372,392,6653,1872
27,222,113,128,149,312,343,6775,1958
28,201,89,105,123,259,295,6866,2062
29,188,73,72,102,198,277,6974,2116
30,178,61,58,83,156,243,7046,2175
31,165,58,39,64,140,204,7106,2224
32,149,56,35,51,112,174,7148,2275
33,134,50,32,47,87,139,7190,2321
34,131,43,31,38,79,101,7219,2358
35,122,39,32,31,63,90,7245,2378
36,108,38,30,29,55,73,7269,2398
37,106,27,28,27,46,67,7289,2410
38,100,24,24,17,43,63,7310,2419
39,90,26,18,18,33,45,7330,2440
40,81,29,15,16,24,39,7345,2451
41,75,24,17,16,23,32,7353,2460
42,71,21,15,15,19,27,7366,2466
43,63,27,14,12,16,28,7371,2469
44,58,22,15,11,13,22,7380,2479
45,53,22,12,8,18,14,7387,2486
46,49,23,11,7,17,11,7393,2489
47,42,19,13,12,13,10,7400,2491
48,42,13,13,11,15,8,7405,2493
49,40,12,8,8,18,8,7413,2493
50,36,14,9,6,16,10,7415,2494
51,34,10,8,8,14,9,7423,2494
52,30,11,6,6,12,9,7429,2497
53,27,12,6,6,9,11,7430,2499
54,26,10,6,6,7,13,7432,2500
55,25,8,3,6,8,8,7438,2504
56,24,7,2,7,6,7,7440,2507
57,23,7,3,6,7,4,7442,2508
58,23,5,3,6,6,5,7444,2508
59,21,6,4,2,6,6,7445,2510
60,20,4,7,1,6,4,7445,2513
61,18,5,5,1,3,7,7448,2513
62,16,7,4,1,2,2,7451,2517
63,15,5,4,2,1,2,7453,2518
64,15,4,4,2,1,3,7453,2518
65,13,3,2,3,2,1,7456,2520
66,12,4,2,3,1,1,7457,2520
67,12,2,2,5,1,1,7457,2520
68,12,2,2,2,4,1,7457,2520
69,12,1,1,3,1,2,7460,2520
70,11,2,0,3,1,1,7462,2520
71,10,2,1,2,1,2,7462,2520
72,10,2,1,0,2,1,7463,2521
73,9,3,1,0,2,1,7463,2521
74,8,4,1,0,2,1,7463,2521
75,8,4,1,0,2,1,7463,2521
76,8,1,3,1,2,1,7463,2521
77,8,1,1,1,2,1,7465,2521
78,8,0,1,1,0,2,7467,2521
79,7,1,1,1,0,1,7468,2521
80,7,1,1,1,0,1,7468,2521
81,7,0,1,1,1,1,7468,2521
82,6,1,1,0,1,1,7469,2521
83,6,0,1,1,1,0,7469,2522
84,5,1,1,1,0,0,7470,2522
85,3,2,0,2,0,0,7471,2522
86,3,0,0,3,1,0,7471,2522
87,2,1,0,2,1,0,7472,2522
88,2,1,0,2,1,0,7472,2522
89,2,1,0,2,0,1,7472,2522
90,2,0,0,2,1,1,7472,2522
91,2,0,0,1,2,1,7472,2522
92,2,0,0,1,2,1,7472,2522
93,2,0,0,0,3,1,7472,2522
94,2,0,0,0,1,3,7472,2522
95,2,0,0,0,1,3,7472,2522
96,2,0,0,0,1,2,7473,2522
97,2,0,0,0,0,2,7473,2523
98,2,0,0,0,0,2,7473,2523
99,2,0,0,0,0,1,7473,2524
100,2,0,0,0,0,0,7473,2525
