id,age
0,1
1,5
2,17
3,29
4,68
5,38
6,25
7,65
8,64
9,9
10,43
11,21
12,59
13,30
14,33
15,48
16,39
17,8
18,56
19,54
20,56
21,39
22,18
23,35
24,56
25,42
26,22
27,20
28,18
29,28
30,25
31,27
32,56
33,36
34,8
35,61
36,47
37,29
38,29
39,65
40,78
41,56
42,78
43,32
44,76
45,48
46,35
47,17
48,62
49,66
50,25
51,48
52,60
53,42
54,27
55,73
56,80
57,34
58,61
59,11
60,87
61,46
62,31
63,50
64,1
65,2
66,26
67,19
68,30
69,34
70,69
71,47
72,29
73,0
74,7
75,27
76,43
77,45
78,1
79,52
80,60
81,58
82,65
83,79
84,68
85,8
86,0
87,50
88,40
89,53
90,53
91,61
92,18
93,51
94,57
95,68
96,93
97,52
98,79
99,63
100,5
101,35
102,50
103,53
104,47
105,22
106,27
107,17
108,49
109,54
110,57
111,69
112,5
113,40
114,63
115,25
116,33
117,63
118,13
119,7
120,4
121,45
122,2
123,22
124,55
125,34
126,26
127,71
128,46
129,33
130,25
131,59
132,47
133,37
134,36
135,65
136,59
137,21
138,5
139,49
140,25
141,39
142,64
143,61
144,30
145,70
146,84
147,51
148,33
149,47
150,14
151,11
152,35
153,21
154,30
155,25
156,4
157,46
158,70
159,71
160,69
161,50
162,23
163,60
164,79
165,39
166,36
167,71
168,25
169,11
170,31
171,58
172,56
173,17
174,3
175,52
176,45
177,9
178,34
179,54
180,8
181,30
182,50
183,36
184,33
185,87
186,39
187,19
188,92
189,71
190,65
191,60
192,43
193,31
194,4
195,24
196,5
197,58
198,55
199,5
200,79
201,34
202,27
203,37
204,29
205,60
206,20
207,27
208,14
209,22
210,61
211,62
212,46
213,34
214,24
215,7
216,12
217,31
218,80
219,84
220,20
221,20
222,67
223,32
224,77
225,5
226,45
227,12
228,75
229,49
230,9
231,70
232,46
233,35
234,57
235,33
236,45
237,21
238,25
239,71
240,51
241,62
242,57
243,54
244,38
245,47
246,50
247,37
248,63
249,14
250,6
251,44
252,23
253,76
254,27
255,28
256,12
257,40
258,17
259,96
260,51
261,17
262,61
263,79
264,72
265,11
266,40
267,31
268,47
269,87
270,19
271,68
272,57
273,69
274,47
275,37
276,15
277,30
278,39
279,13
280,15
281,77
282,21
283,0
284,58
285,54
286,19
287,42
288,2
289,57
290,58
291,71
292,60
293,42
294,68
295,81
296,43
297,32
298,17
299,33
300,37
301,51
302,47
303,58
304,56
305,67
306,53
307,50
308,34
309,45
310,4
311,8
312,52
313,35
314,10
315,52
316,37
317,52
318,35
319,81
320,74
321,42
322,34
323,33
324,59
325,40
326,59
327,31
328,21
329,35
330,31
331,72
332,20
333,46
334,34
335,58
336,25
337,18
338,84
339,72
340,56
341,27
342,63
343,67
344,60
345,8
346,68
347,72
348,53
349,0
350,68
351,17
352,52
353,10
354,5
355,67
356,68
357,29
