"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,83,3,79,0
4,6930,1821,458,450,141,14,186,0
5,6240,2021,581,598,217,32,308,3
6,5673,2071,688,705,305,67,487,4
7,5081,2087,822,793,400,109,696,12
8,4280,2287,911,855,521,159,952,35
9,3574,2375,990,914,661,195,1232,59
10,2966,2291,1086,1008,760,235,1554,100
11,2472,2153,1144,981,855,324,1927,144
12,2053,1959,1158,1013,885,376,2348,208
13,1725,1710,1133,1012,941,450,2759,270
14,1461,1424,1074,986,983,507,3205,360
15,1206,1245,966,940,973,549,3659,462
16,999,1058,857,893,943,580,4083,587
17,829,857,805,808,931,606,4465,699
18,717,696,697,714,903,627,4831,815
19,597,592,599,611,850,625,5190,936
20,520,464,494,520,782,625,5521,1074
21,469,364,426,412,719,623,5796,1191
22,401,310,344,340,648,586,6050,1321
23,354,254,286,280,574,556,6255,1441
24,304,228,232,237,496,494,6438,1571
25,260,201,169,202,408,449,6614,1697
26,237,168,141,146,356,404,6754,1794
27,216,135,124,123,315,341,6862,1884
28,203,95,114,104,239,322,6958,1965
29,187,76,80,88,201,268,7055,2045
30,168,63,72,77,152,245,7117,2106
31,159,53,61,63,124,197,7175,2168
32,149,37,56,63,102,154,7225,2214
33,136,37,40,53,81,136,7271,2246
34,126,38,27,43,71,93,7311,2291
35,117,38,27,38,63,68,7328,2321
36,111,36,23,21,58,60,7349,2342
37,104,26,25,20,50,55,7363,2357
38,97,28,19,15,38,47,7383,2373
39,92,26,18,13,31,42,7397,2381
40,87,24,16,12,26,41,7410,2384
41,84,19,15,14,15,41,7422,2390
42,81,16,16,12,15,35,7429,2396
43,80,13,15,8,14,26,7436,2408
44,72,19,13,9,8,20,7442,2417
45,69,19,8,10,6,14,7451,2423
46,65,19,10,4,11,10,7455,2426
47,60,16,11,7,8,8,7461,2429
48,59,8,12,10,9,7,7465,2430
49,54,10,9,11,9,4,7471,2432
50,53,9,7,10,8,5,7475,2433
51,52,7,5,5,12,5,7481,2433
52,50,5,6,6,8,5,7486,2434
53,50,3,6,6,8,6,7487,2434
54,44,7,4,5,10,6,7490,2434
55,42,9,1,3,9,7,7494,2435
56,42,7,1,4,6,7,7496,2437
57,41,5,3,4,3,4,7500,2440
58,38,8,2,3,2,6,7501,2440
59,38,3,4,4,3,5,7503,2440
60,37,4,3,3,3,5,7504,2441
61,36,4,3,2,5,4,7505,2441
62,36,2,5,1,6,2,7506,2442
63,34,3,5,0,6,2,7508,2442
64,31,4,4,1,3,3,7512,2442
65,31,2,6,1,3,3,7512,2442
66,29,4,4,1,1,3,7514,2444
67,26,7,3,0,1,3,7515,2445
68,26,5,3,2,1,1,7516,2446
69,25,5,2,3,0,2,7517,2446
70,23,5,1,3,1,1,7519,2447
71,23,4,0,4,0,2,7520,2447
72,22,5,0,4,0,1,7520,2448
73,21,5,0,3,2,1,7520,2448
74,21,3,0,4,1,3,7520,2448
75,19,3,1,3,2,2,7521,2449
76,18,4,1,3,1,3,7521,2449
77,16,6,1,3,1,3,7521,2449
78,16,5,1,2,2,2,7522,2450
79,16,2,1,4,3,1,7523,2450
80,16,1,1,3,4,2,7523,2450
81,16,1,1,1,6,1,7523,2451
82,12,5,0,1,3,2,7525,2452
83,12,4,1,1,2,2,7526,2452
84,12,2,3,0,2,3,7526,2452
85,12,1,3,1,1,4,7526,2452
86,12,0,4,1,1,3,7526,2453
87,11,1,3,1,1,3,7527,2453
88,10,2,0,1,1,2,7530,2454
89,10,2,0,0,1,3,7530,2454
90,10,1,1,0,1,3,7530,2454
91,10,1,1,0,1,1,7531,2455
92,10,1,0,0,1,0,7532,2456
93,10,1,0,0,1,0,7532,2456
94,10,0,1,0,1,0,7532,2456
95,10,0,1,0,1,0,7532,2456
96,10,0,0,0,0,1,7533,2456
97,10,0,0,0,0,0,7533,2457
