"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2038,1948,1098,1090,889,389,2348,200
13,1735,1682,1063,1062,961,441,2775,281
14,1466,1404,1011,1038,975,532,3209,365
15,1218,1222,958,947,1001,584,3613,457
16,1014,1036,896,863,998,600,4002,591
17,849,847,804,797,958,610,4396,739
18,735,716,691,671,942,610,4760,875
19,606,609,571,595,891,632,5101,995
20,514,513,491,516,793,615,5414,1144
21,453,407,415,437,715,593,5700,1280
22,389,323,351,352,664,572,5946,1403
23,335,280,288,295,546,577,6151,1528
24,294,228,242,254,470,516,6349,1647
25,265,188,193,200,416,476,6513,1749
26,243,140,167,161,349,429,6650,1861
27,212,119,137,144,290,372,6763,1963
28,193,102,112,123,240,322,6857,2051
29,176,89,93,94,208,257,6941,2142
30,160,78,66,80,172,240,7016,2188
31,148,60,61,71,129,206,7079,2246
32,136,46,50,57,114,160,7144,2293
33,129,40,43,44,98,132,7181,2333
34,121,30,38,41,84,114,7215,2357
35,115,26,31,32,74,97,7244,2381
36,110,27,29,17,64,80,7269,2404
37,105,22,26,18,46,73,7287,2423
38,101,22,17,14,36,56,7311,2443
39,96,20,18,12,30,37,7327,2460
40,91,19,14,8,33,24,7338,2473
41,85,20,11,7,25,21,7350,2481
42,76,24,10,8,18,18,7359,2487
43,70,25,9,10,15,10,7367,2494
44,68,19,9,14,8,12,7376,2494
45,62,19,9,14,5,10,7385,2496
46,59,16,10,12,9,9,7387,2498
47,59,10,8,13,12,9,7390,2499
48,55,12,8,13,10,6,7395,2501
49,50,14,10,12,8,6,7398,2502
50,49,11,10,12,8,7,7401,2502
51,45,11,7,11,9,5,7407,2505
52,42,11,6,7,12,5,7411,2506
53,42,5,8,8,7,9,7414,2507
54,39,8,6,4,9,8,7416,2510
55,38,8,7,1,9,5,7418,2514
56,38,4,7,1,10,5,7421,2514
57,36,5,6,1,6,7,7425,2514
58,34,6,6,1,4,5,7428,2516
59,31,7,3,3,3,3,7433,2517
60,31,5,3,5,3,3,7433,2517
61,28,5,2,5,2,3,7437,2518
62,27,5,2,5,2,4,7437,2518
63,26,3,4,5,2,3,7438,2519
64,25,3,5,3,4,3,7438,2519
65,23,3,4,4,3,3,7441,2519
66,21,4,5,2,4,3,7441,2520
67,20,3,5,2,4,2,7443,2521
68,18,5,4,0,2,3,7447,2521
69,17,5,3,1,1,1,7450,2522
70,15,6,2,0,2,1,7452,2522
71,14,5,3,1,1,2,7452,2522
72,13,4,2,3,1,1,7454,2522
73,12,2,5,2,1,2,7454,2522
74,12,2,3,2,1,2,7456,2522
75,12,1,2,2,2,2,7457,2522
76,11,1,2,2,2,1,7457,2524
77,11,1,1,1,3,1,7458,2524
78,10,2,0,1,1,2,7460,2524
79,10,2,0,1,1,2,7460,2524
80,10,1,0,2,0,3,7460,2524
81,10,1,0,2,0,1,7460,2526
82,10,1,0,2,0,1,7460,2526
83,10,0,1,1,1,1,7460,2526
84,8,2,1,0,1,2,7460,2526
85,8,1,2,0,0,3,7460,2526
86,8,0,2,0,0,3,7461,2526
87,8,0,1,0,0,3,7462,2526
88,8,0,0,0,0,2,7463,2527
89,8,0,0,0,0,0,7465,2527
90,8,0,0,0,0,0,7465,2527
