"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5640,2105,715,681,325,49,477,8
7,5051,2099,851,792,411,95,685,16
8,4217,2324,912,877,524,148,969,29
9,3489,2405,992,966,623,207,1265,53
10,2951,2292,1027,1041,717,257,1628,87
11,2446,2122,1124,1103,788,322,1957,138
12,2038,1948,1098,1090,889,389,2348,200
13,1735,1682,1063,1062,961,441,2775,281
14,1468,1397,1020,1026,1019,517,3192,361
15,1227,1204,985,930,1039,588,3574,453
16,1017,1032,915,833,1037,618,3972,576
17,831,850,830,755,1020,638,4370,706
18,708,720,704,645,956,674,4760,833
19,602,584,598,577,846,674,5142,977
20,526,483,489,476,794,641,5461,1130
21,458,387,415,415,681,624,5757,1263
22,385,325,358,367,589,590,5985,1401
23,328,275,286,289,529,535,6230,1528
24,301,207,241,263,429,486,6423,1650
25,276,169,190,227,368,439,6572,1759
26,247,145,165,169,344,389,6700,1841
27,233,107,128,140,303,324,6835,1930
28,205,108,96,103,257,294,6937,2000
29,183,92,78,89,209,240,7032,2077
30,170,78,62,84,150,236,7103,2117
31,159,66,46,67,127,209,7157,2169
32,152,49,36,54,116,165,7206,2222
33,141,46,28,46,96,140,7239,2264
34,133,42,28,41,66,109,7276,2305
35,124,39,27,29,60,90,7303,2328
36,118,35,17,28,50,74,7332,2346
37,114,28,17,28,43,53,7351,2366
38,109,28,10,28,38,32,7368,2387
39,105,19,14,24,31,39,7374,2394
40,104,15,11,22,24,35,7387,2402
41,97,15,12,23,20,28,7393,2412
42,96,14,11,16,25,27,7397,2414
43,91,14,10,14,22,24,7404,2421
44,87,16,8,12,20,21,7409,2427
45,81,18,5,13,18,20,7415,2430
46,77,15,6,11,22,19,7416,2434
47,73,12,9,13,14,17,7420,2442
48,67,15,8,11,15,14,7423,2447
49,63,16,7,11,15,9,7429,2450
50,60,16,5,13,12,8,7434,2452
51,57,15,5,9,15,8,7438,2453
52,56,14,6,6,17,8,7439,2454
53,53,11,5,7,14,9,7446,2455
54,50,11,5,8,13,7,7448,2458
55,44,11,6,8,11,7,7452,2461
56,43,7,5,11,9,5,7457,2463
57,40,9,2,9,10,5,7461,2464
58,40,7,3,6,10,7,7462,2465
59,38,7,0,6,9,8,7466,2466
60,37,6,0,5,10,5,7467,2470
61,33,9,1,5,10,4,7467,2471
62,31,9,2,5,7,6,7468,2472
63,30,8,4,2,9,3,7469,2475
64,29,8,3,1,9,4,7471,2475
65,28,7,4,2,5,5,7472,2477
66,27,7,3,2,5,5,7473,2478
67,27,4,4,3,3,6,7475,2478
68,24,6,3,2,3,5,7478,2479
69,24,2,4,3,3,4,7480,2480
70,24,2,4,1,5,4,7480,2480
71,22,3,4,1,2,7,7481,2480
72,20,5,3,1,1,2,7482,2486
73,19,5,4,1,1,2,7482,2486
74,17,7,3,0,2,2,7483,2486
75,17,6,3,0,1,2,7485,2486
76,16,3,5,1,1,1,7486,2487
77,14,4,4,2,1,1,7487,2487
78,13,4,4,2,1,0,7488,2488
79,13,4,3,1,2,0,7489,2488
80,13,1,2,4,1,1,7490,2488
81,12,2,1,1,3,1,7492,2488
82,10,3,2,1,2,0,7493,2489
83,10,2,1,2,1,0,7495,2489
84,9,2,1,1,2,0,7496,2489
85,9,1,1,1,3,0,7496,2489
86,9,1,1,1,3,0,7496,2489
87,8,2,1,1,0,1,7498,2489
88,8,2,1,1,0,0,7499,2489
89,7,3,1,1,0,0,7499,2489
90,7,1,2,1,1,0,7499,2489
91,7,0,1,1,1,0,7501,2489
92,7,0,1,1,1,0,7501,2489
93,7,0,0,1,1,0,7502,2489
94,7,0,0,1,1,0,7502,2489
95,7,0,0,1,1,0,7502,2489
96,7,0,0,1,0,0,7503,2489
97,7,0,0,0,1,0,7503,2489
98,7,0,0,0,1,0,7503,2489
99,7,0,0,0,1,0,7503,2489
100,7,0,0,0,1,0,7503,2489
101,7,0,0,0,1,0,7503,2489
102,7,0,0,0,0,1,7503,2489
103,7,0,0,0,0,1,7503,2489
104,7,0,0,0,0,1,7503,2489
105,7,0,0,0,0,1,7503,2489
106,7,0,0,0,0,1,7503,2489
107,7,0,0,0,0,1,7503,2489
108,7,0,0,0,0,0,7503,2490
