"time","s","e","a","p","sym","sev","r","d"
0,9000,1000,0,0,0,0,0,0
1,8534,1231,103,132,0,0,0,0
2,8115,1381,231,224,28,0,21,0
3,7571,1566,351,347,82,3,80,0
4,6940,1810,454,456,141,16,183,0
5,6226,2038,589,593,220,22,308,4
6,5655,2090,713,684,322,45,483,8
7,5073,2085,829,807,417,91,683,15
8,4255,2304,899,877,537,144,952,32
9,3516,2399,982,971,637,205,1235,55
10,2974,2279,1037,1047,749,260,1565,89
11,2459,2142,1088,1071,841,338,1924,137
12,2021,1984,1075,1117,892,399,2308,204
13,1678,1768,1050,1064,962,454,2737,287
14,1440,1431,1007,1041,1007,516,3190,368
15,1190,1231,947,964,1037,564,3591,476
16,968,1058,881,881,1039,604,3987,582
17,798,864,794,798,1006,632,4397,711
18,681,696,693,704,959,643,4775,849
19,574,584,586,585,913,664,5119,975
20,498,469,507,513,804,653,5435,1121
21,429,375,407,438,712,644,5762,1233
22,365,325,323,354,638,612,6019,1364
23,311,273,280,276,548,587,6241,1484
24,278,215,230,235,456,537,6438,1611
25,241,200,164,180,410,463,6616,1726
26,213,152,134,178,319,403,6765,1836
27,190,122,112,155,266,338,6884,1933
28,178,97,88,121,246,282,6975,2013
29,170,83,74,79,217,241,7050,2086
30,156,72,58,64,173,195,7130,2152
31,151,53,55,47,129,174,7191,2200
32,137,49,47,37,104,146,7239,2241
33,131,39,41,32,78,119,7282,2278
34,128,32,38,29,57,105,7309,2302
35,119,25,34,26,42,86,7344,2324
36,113,23,29,18,36,68,7370,2343
37,110,20,21,14,33,50,7389,2363
38,103,21,15,14,29,39,7403,2376
39,96,24,15,12,25,35,7410,2383
40,91,19,13,17,17,28,7421,2394
41,87,18,12,12,20,20,7429,2402
42,82,19,11,9,20,15,7435,2409
43,80,18,12,8,13,13,7443,2413
44,74,18,13,7,12,11,7448,2417
45,68,15,15,8,11,12,7452,2419
46,64,13,11,7,9,11,7463,2422
47,60,14,10,6,9,10,7468,2423
48,56,14,9,7,7,11,7471,2425
49,54,12,9,6,7,11,7476,2425
50,48,12,14,3,8,11,7477,2427
51,47,9,15,4,7,7,7480,2431
52,46,7,10,3,8,3,7489,2434
53,43,9,6,3,7,3,7495,2434
54,42,6,7,3,5,4,7498,2435
55,42,2,8,5,3,4,7499,2437
56,38,5,7,5,2,5,7501,2437
57,37,4,5,5,2,4,7505,2438
58,36,5,2,3,3,3,7508,2440
59,34,6,2,3,2,5,7508,2440
60,33,5,1,4,2,5,7509,2441
61,33,3,0,5,2,3,7512,2442
62,32,3,1,5,2,3,7512,2442
63,32,3,0,4,2,3,7513,2443
64,30,4,0,4,3,2,7513,2444
65,30,2,1,4,3,3,7513,2444
66,30,1,1,5,3,2,7514,2444
67,29,2,1,1,7,1,7514,2445
68,27,3,2,1,2,4,7516,2445
69,27,2,3,1,2,4,7516,2445
70,26,3,3,1,1,4,7517,2445
71,26,2,2,1,1,3,7519,2446
72,24,4,1,0,2,2,7520,2447
73,24,3,2,0,2,2,7520,2447
74,22,4,3,0,1,2,7520,2448
75,21,4,1,1,1,1,7522,2449
76,21,3,2,1,1,0,7522,2450
77,18,6,2,1,0,1,7522,2450
78,18,4,3,2,0,0,7522,2451
79,17,4,1,2,0,0,7525,2451
80,17,2,2,2,1,0,7525,2451
81,14,4,3,1,2,0,7525,2451
82,13,5,2,1,2,0,7526,2451
83,12,4,2,1,3,0,7527,2451
84,11,3,2,2,4,0,7527,2451
85,10,4,1,2,4,0,7528,2451
86,9,3,1,2,3,1,7530,2451
87,9,1,1,3,4,1,7530,2451
88,8,2,1,3,4,0,7530,2452
89,8,1,2,2,3,0,7532,2452
90,8,1,1,2,3,0,7533,2452
91,8,1,1,1,2,2,7533,2452
92,8,1,1,1,2,2,7533,2452
93,8,1,1,0,3,1,7533,2453
94,8,1,1,0,2,2,7533,2453
95,8,0,0,1,0,4,7534,2453
96,8,0,0,1,0,2,7535,2454
97,8,0,0,1,0,1,7535,2455
98,8,0,0,1,0,0,7535,2456
99,8,0,0,1,0,0,7535,2456
100,8,0,0,0,1,0,7535,2456
101,8,0,0,0,1,0,7535,2456
102,8,0,0,0,1,0,7535,2456
103,8,0,0,0,1,0,7535,2456
104,8,0,0,0,1,0,7535,2456
105,8,0,0,0,1,0,7535,2456
106,8,0,0,0,1,0,7535,2456
107,8,0,0,0,0,0,7536,2456
