"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,398,56,46,0,0,0,0
1.5,4478,420,56,46,0,0,0,0
2.0,4446,354,84,85,10,0,21,0
2.5,4413,383,87,86,10,0,21,0
3.0,4356,351,105,112,29,2,45,0
3.5,4306,390,114,114,29,2,45,0
4.0,4241,369,130,132,50,1,76,1
4.5,4188,405,134,140,52,1,79,1
5.0,4106,425,122,151,65,10,120,1
5.5,4073,424,132,165,68,10,127,1
6.0,4011,393,152,171,89,19,163,2
6.5,3980,400,158,181,91,19,169,2
7.0,3915,373,171,193,98,34,210,6
7.5,3865,385,180,206,106,35,217,6
8.0,3764,398,189,207,127,44,259,12
8.5,3697,428,197,212,136,44,273,13
9.0,3612,451,172,194,156,49,342,24
9.5,3543,470,193,198,157,56,359,24
10.0,3427,523,194,188,160,65,407,36
10.5,3358,542,202,198,170,66,427,37
11.0,3255,552,208,210,172,70,482,51
11.5,3190,559,213,224,185,74,503,52
12.0,3095,560,220,236,187,73,563,66
12.5,3055,531,228,260,193,77,588,68
13.0,2987,509,224,265,193,97,647,78
13.5,2945,493,218,275,205,106,678,80
14.0,2875,478,222,267,234,103,725,96
14.5,2804,502,216,259,250,106,760,103
15.0,2700,516,214,264,249,118,824,115
15.5,2641,520,220,251,267,127,854,120
16.0,2573,492,224,263,251,142,916,139
16.5,2513,498,216,272,245,149,956,151
17.0,2431,510,211,255,260,143,1013,177
17.5,2386,487,230,255,269,145,1042,186
18.0,2321,462,242,242,276,143,1107,207
18.5,2277,447,247,232,287,148,1143,219
19.0,2212,420,256,241,278,153,1199,241
19.5,2179,399,243,234,280,157,1258,250
20.0,2129,383,245,224,265,160,1325,269
20.5,2094,372,251,223,257,167,1357,279
21.0,2057,345,225,222,242,182,1435,292
21.5,2023,333,227,218,239,189,1470,301
22.0,1973,316,220,214,244,182,1525,326
22.5,1944,313,212,211,230,176,1567,347
23.0,1905,296,201,197,234,170,1631,366
23.5,1877,291,198,184,231,174,1669,376
24.0,1845,270,200,169,234,169,1711,402
24.5,1822,257,192,165,235,166,1750,413
25.0,1779,252,177,148,230,168,1812,434
25.5,1759,239,168,150,220,171,1847,446
26.0,1725,233,160,134,206,172,1898,472
26.5,1706,223,154,125,205,164,1935,488
27.0,1683,205,138,122,205,162,1980,505
27.5,1658,214,130,109,199,157,2012,521
28.0,1629,205,128,102,189,148,2052,547
28.5,1615,189,128,107,177,150,2076,558
29.0,1596,172,129,105,156,145,2117,580
29.5,1577,164,121,110,151,134,2150,593
30.0,1559,145,114,114,138,132,2188,610
30.5,1537,145,112,112,138,129,2205,622
31.0,1508,155,94,112,124,116,2251,640
31.5,1498,141,95,106,122,115,2277,646
32.0,1485,130,89,99,120,114,2306,657
32.5,1475,122,85,99,118,109,2327,665
33.0,1458,112,88,96,115,95,2348,688
33.5,1452,103,82,91,108,98,2369,697
34.0,1440,99,70,85,103,91,2401,711
34.5,1424,102,66,82,104,88,2414,720
35.0,1411,95,64,80,99,81,2436,734
35.5,1401,93,62,79,98,77,2451,739
36.0,1388,91,57,71,104,68,2470,751
36.5,1375,94,49,65,97,77,2485,758
37.0,1361,89,47,68,91,75,2504,765
37.5,1353,83,51,63,87,69,2519,775
38.0,1340,81,49,56,83,74,2540,777
38.5,1335,79,46,54,74,71,2554,787
39.0,1327,68,54,54,67,70,2561,799
39.5,1320,65,52,54,66,63,2573,807
40.0,1310,66,46,49,61,67,2588,813
40.5,1307,61,41,43,65,63,2603,817
41.0,1303,54,36,39,68,56,2615,829
41.5,1301,49,37,39,62,59,2621,832
42.0,1294,44,40,36,57,59,2632,838
42.5,1285,46,41,32,56,62,2639,839
43.0,1275,47,41,26,55,62,2650,844
43.5,1270,46,39,26,54,56,2660,849
44.0,1262,45,37,27,53,43,2673,860
44.5,1258,45,36,22,54,38,2682,865
45.0,1254,44,29,25,40,39,2699,870
45.5,1252,39,30,26,33,37,2708,875
46.0,1248,36,30,25,33,36,2713,879
46.5,1246,34,27,24,31,34,2721,883
47.0,1241,33,29,13,36,29,2729,890
47.5,1241,27,27,12,34,30,2736,893
48.0,1238,25,26,14,27,27,2744,899
48.5,1236,25,26,14,27,26,2745,901
49.0,1234,23,24,14,23,26,2751,905
49.5,1231,25,25,14,19,25,2755,906
50.0,1227,25,22,13,20,24,2761,908
50.5,1226,24,20,15,18,22,2764,911
51.0,1223,22,17,14,16,23,2771,914
51.5,1220,22,17,12,16,23,2776,914
52.0,1218,18,21,12,12,25,2779,915
52.5,1215,18,17,14,11,23,2785,917
53.0,1211,19,14,16,6,22,2792,920
53.5,1208,19,14,14,10,20,2793,922
54.0,1205,18,12,16,10,17,2797,925
54.5,1204,15,14,17,11,15,2798,926
55.0,1202,16,11,15,12,12,2803,929
55.5,1201,16,9,12,12,12,2807,931
56.0,1201,15,8,12,10,11,2809,934
56.5,1201,14,7,12,9,11,2812,934
57.0,1200,11,10,9,13,10,2813,934
57.5,1198,12,8,9,14,8,2815,936
58.0,1195,11,9,10,14,8,2817,936
58.5,1195,9,10,11,13,8,2818,936
59.0,1195,6,9,9,13,8,2823,937
59.5,1195,5,7,7,15,6,2827,938
60.0,1194,4,5,6,14,7,2831,939
60.5,1194,3,5,6,13,9,2831,939
61.0,1194,2,2,6,11,9,2835,941
61.5,1194,2,2,5,10,10,2836,941
62.0,1194,2,2,4,10,9,2838,941
62.5,1194,1,2,5,6,11,2840,941
63.0,1194,1,2,3,8,11,2840,941
63.5,1194,1,1,3,8,9,2841,943
64.0,1194,1,0,3,6,7,2843,946
64.5,1194,1,0,2,6,7,2844,946
65.0,1194,1,0,2,5,7,2844,947
65.5,1194,1,0,2,4,8,2844,947
66.0,1194,0,1,2,3,8,2844,948
66.5,1194,0,1,1,4,7,2844,949
67.0,1194,0,0,1,3,7,2846,949
67.5,1194,0,0,1,2,7,2847,949
68.0,1194,0,0,1,2,5,2847,951
68.5,1194,0,0,1,2,3,2847,953
69.0,1194,0,0,0,3,2,2847,954
69.5,1194,0,0,0,2,3,2847,954
70.0,1194,0,0,0,1,4,2847,954
70.5,1193,1,0,0,1,4,2847,954
71.0,1193,1,0,0,1,4,2847,954
71.5,1193,1,0,0,1,3,2847,955
72.0,1193,1,0,0,1,2,2847,956
72.5,1193,1,0,0,1,2,2847,956
73.0,1192,2,0,0,1,2,2847,956
73.5,1191,3,0,0,1,2,2847,956
74.0,1191,3,0,0,1,2,2847,956
74.5,1191,3,0,0,1,2,2847,956
75.0,1191,2,0,1,0,2,2848,956
75.5,1191,1,0,2,0,1,2848,957
76.0,1191,1,0,2,0,1,2848,957
76.5,1191,0,1,2,0,1,2848,957
77.0,1190,1,1,1,1,0,2848,958
77.5,1190,1,1,1,1,0,2848,958
78.0,1188,2,1,2,1,0,2848,958
78.5,1188,2,1,2,1,0,2848,958
79.0,1188,1,2,2,1,0,2848,958
79.5,1188,1,1,2,1,0,2849,958
80.0,1188,1,1,2,1,0,2849,958
80.5,1188,1,1,1,2,0,2849,958
81.0,1188,1,1,1,2,0,2849,958
81.5,1188,1,1,1,2,0,2849,958
82.0,1188,1,1,1,2,0,2849,958
82.5,1188,1,1,1,2,0,2849,958
83.0,1188,0,1,2,1,0,2850,958
83.5,1188,0,1,2,1,0,2850,958
84.0,1188,0,0,0,3,0,2851,958
84.5,1188,0,0,0,3,0,2851,958
85.0,1188,0,0,0,2,0,2852,958
85.5,1188,0,0,0,2,0,2852,958
86.0,1188,0,0,0,1,0,2853,958
86.5,1188,0,0,0,1,0,2853,958
87.0,1188,0,0,0,1,0,2853,958
87.5,1188,0,0,0,1,0,2853,958
88.0,1188,0,0,0,1,0,2853,958
88.5,1188,0,0,0,0,0,2854,958
