"time","s","e","a","p","sym","sev","r","d"
0.0,4500,500,0,0,0,0,0,0
0.5,4500,500,0,0,0,0,0,0
1.0,4500,392,58,50,0,0,0,0
1.5,4473,419,58,50,0,0,0,0
2.0,4440,363,98,80,9,0,10,0
2.5,4410,385,103,83,9,0,10,0
3.0,4363,349,120,113,20,2,33,0
3.5,4308,391,126,118,20,2,35,0
4.0,4236,366,145,148,37,6,62,0
4.5,4167,411,155,157,38,6,66,0
5.0,4084,421,155,156,69,9,106,0
5.5,4044,432,168,167,71,9,109,0
6.0,3982,410,179,166,90,20,151,2
6.5,3940,417,190,173,96,21,161,2
7.0,3877,395,195,176,112,28,213,4
7.5,3806,423,203,191,113,30,230,4
8.0,3694,457,202,187,126,43,280,11
8.5,3626,471,217,196,139,43,297,11
9.0,3539,478,212,199,148,54,352,18
9.5,3470,489,232,207,165,55,364,18
10.0,3366,521,228,200,170,80,412,23
10.5,3304,529,232,209,177,84,441,24
11.0,3201,551,232,214,171,78,502,51
11.5,3126,573,236,216,183,83,532,51
12.0,3039,563,236,224,189,91,591,67
12.5,3006,529,240,237,195,100,624,69
13.0,2944,499,250,250,191,107,678,81
13.5,2902,490,250,247,202,110,712,87
14.0,2849,459,246,248,219,94,777,108
14.5,2783,476,238,242,223,111,819,108
15.0,2699,463,236,251,224,121,880,126
15.5,2644,466,241,250,225,118,917,139
16.0,2570,473,240,224,235,129,972,157
16.5,2526,461,241,224,231,135,1014,168
17.0,2457,462,230,227,220,131,1084,189
17.5,2421,440,236,233,228,130,1116,196
18.0,2371,416,232,216,238,136,1176,215
18.5,2339,382,245,220,234,145,1212,223
19.0,2279,380,241,214,215,154,1271,246
19.5,2250,367,221,212,218,153,1324,255
20.0,2205,334,217,223,203,150,1389,279
20.5,2176,323,202,219,209,146,1432,293
21.0,2134,313,196,212,204,138,1486,317
21.5,2108,301,187,207,201,147,1520,329
22.0,2052,295,194,191,210,144,1571,343
22.5,2021,282,193,192,203,152,1606,351
23.0,1979,274,187,187,201,152,1652,368
23.5,1953,273,176,177,197,154,1691,379
24.0,1915,253,161,187,193,147,1747,397
24.5,1888,257,151,177,192,144,1780,411
25.0,1850,249,158,158,194,142,1822,427
25.5,1823,248,162,154,187,143,1846,437
26.0,1795,240,149,140,186,133,1898,459
26.5,1776,228,150,132,190,122,1927,475
27.0,1756,211,143,120,183,129,1970,488
27.5,1742,201,143,115,177,127,1997,498
28.0,1723,188,137,106,167,122,2038,519
28.5,1707,178,132,107,158,123,2066,529
29.0,1680,167,129,104,145,123,2105,547
29.5,1658,169,127,99,146,110,2129,562
30.0,1636,167,120,99,131,104,2164,579
30.5,1625,157,118,94,127,104,2188,587
31.0,1605,152,105,91,119,105,2224,599
31.5,1596,139,103,91,103,107,2252,609
32.0,1575,125,106,88,107,94,2278,627
32.5,1563,122,98,83,106,95,2298,635
33.0,1554,106,89,82,102,92,2329,646
33.5,1547,101,72,78,100,90,2358,654
34.0,1532,97,57,75,95,85,2393,666
34.5,1527,90,60,72,93,78,2408,672
35.0,1520,76,60,69,87,74,2431,683
35.5,1510,73,60,68,83,71,2444,691
36.0,1502,70,54,57,84,70,2463,700
36.5,1493,70,46,55,85,65,2479,707
37.0,1488,65,44,49,84,63,2489,718
37.5,1481,63,43,48,79,56,2504,726
38.0,1471,68,37,41,71,59,2521,732
38.5,1469,63,37,33,74,59,2532,733
39.0,1467,50,37,39,67,54,2543,743
39.5,1465,46,32,39,63,54,2554,747
40.0,1462,39,33,31,64,43,2571,757
40.5,1458,33,36,35,59,41,2578,760
41.0,1450,38,27,29,54,40,2594,768
41.5,1449,36,23,25,53,38,2603,773
42.0,1447,32,24,23,48,41,2610,775
42.5,1444,31,23,20,52,38,2615,777
43.0,1436,32,23,15,49,33,2628,784
43.5,1434,33,22,11,47,35,2631,787
44.0,1429,31,21,14,37,34,2643,791
44.5,1424,34,20,14,29,35,2649,795
45.0,1421,32,15,15,28,28,2657,804
45.5,1418,32,18,14,24,28,2659,807
46.0,1414,30,22,13,21,27,2664,809
46.5,1411,29,21,13,19,27,2669,811
47.0,1407,28,21,14,13,29,2674,814
47.5,1407,25,20,15,11,27,2678,817
48.0,1402,22,20,12,13,25,2684,822
48.5,1399,25,18,10,14,22,2686,826
49.0,1397,22,18,12,12,19,2690,830
49.5,1397,19,17,14,11,14,2695,833
50.0,1394,20,15,14,8,11,2702,836
50.5,1392,19,16,14,7,12,2704,836
51.0,1390,20,13,12,6,13,2710,836
51.5,1389,18,13,12,7,10,2714,837
52.0,1387,16,14,11,10,8,2715,839
52.5,1386,15,13,10,9,9,2719,839
53.0,1386,13,11,9,9,7,2725,840
53.5,1385,13,11,10,9,6,2725,841
54.0,1382,13,11,8,10,4,2728,844
54.5,1382,12,12,8,9,5,2728,844
55.0,1380,12,10,5,10,6,2733,844
55.5,1379,11,10,6,10,5,2734,845
56.0,1379,7,11,5,9,5,2738,846
56.5,1378,8,10,4,9,4,2740,847
57.0,1378,7,9,5,9,4,2741,847
57.5,1378,6,6,5,9,4,2744,848
58.0,1378,6,4,5,7,3,2747,850
58.5,1378,6,4,4,8,3,2747,850
59.0,1378,5,3,4,8,4,2748,850
59.5,1378,3,3,5,7,5,2748,851
60.0,1377,3,3,4,6,7,2749,851
60.5,1377,3,3,3,6,6,2750,852
61.0,1377,2,3,3,4,6,2752,853
61.5,1376,3,3,2,5,5,2752,854
62.0,1375,3,4,2,5,4,2753,854
62.5,1375,2,4,3,4,5,2753,854
63.0,1375,1,5,3,2,5,2754,855
63.5,1375,1,5,3,0,6,2755,855
64.0,1375,1,4,3,0,5,2757,855
64.5,1375,1,4,2,1,5,2757,855
65.0,1374,1,2,3,1,5,2759,855
65.5,1374,1,2,2,2,4,2759,856
66.0,1374,1,1,2,2,3,2760,857
66.5,1374,1,1,1,3,3,2760,857
67.0,1374,1,1,0,4,3,2760,857
67.5,1374,1,1,0,4,3,2760,857
68.0,1374,0,1,0,3,4,2761,857
68.5,1374,0,1,0,3,3,2762,857
69.0,1374,0,1,0,3,3,2762,857
69.5,1374,0,1,0,3,3,2762,857
70.0,1374,0,1,0,3,3,2762,857
70.5,1374,0,1,0,1,3,2764,857
71.0,1374,0,0,0,1,2,2765,858
71.5,1374,0,0,0,1,1,2765,859
72.0,1374,0,0,0,1,1,2765,859
72.5,1374,0,0,0,1,1,2765,859
73.0,1374,0,0,0,1,1,2765,859
73.5,1374,0,0,0,0,1,2766,859
74.0,1374,0,0,0,0,0,2766,860
