"time","newInfectors","newInfections","r","sevenDayAverageR"
0,500,837,1.674,1.674
2,22,39,1.7727272727272727,1.7233636363636364
3,35,61,1.7428571428571429,1.729861471861472
4,19,19,1.0,1.547396103896104
5,53,75,1.4150943396226414,1.5209357510414114
6,36,49,1.3611111111111112,1.4942983110530281
7,69,92,1.3333333333333333,1.4713033142359289
8,44,53,1.2045454545454546,1.404238379170994
9,89,113,1.2696629213483146,1.3323720432597141
10,53,39,0.7358490566037735,1.1885137452235186
11,65,51,0.7846153846153846,1.157744514454288
12,39,33,0.8461538461538461,1.076467301101603
13,61,64,1.0491803278688525,1.0319057606384232
14,63,72,1.1428571428571428,1.0046948762846817
15,115,114,0.991304347826087,0.9742318610390576
16,64,51,0.796875,0.9066907294178698
17,108,115,1.0648148148148149,0.9536858377337329
18,76,77,1.013157894736842,0.9863347677510841
19,91,72,0.7912087912087912,0.9784854741875048
20,59,56,0.9491525423728814,0.9641957905452232
21,92,71,0.7717391304347826,0.9111789316277432
22,64,49,0.765625,0.878939024795445
23,107,75,0.7009345794392523,0.8652332504296238
24,50,30,0.6,0.7988311340275074
25,66,38,0.5757575757575758,0.7363453741733265
26,43,31,0.7209302325581395,0.7263055800803763
27,75,43,0.5733333333333334,0.6726171216461551
28,63,41,0.6507936507936508,0.6553391959831363
29,84,51,0.6071428571428571,0.6326988898606872
30,44,23,0.5227272727272727,0.6072407031875473
31,89,46,0.5168539325842697,0.5953626935567288
32,52,33,0.6346153846153846,0.6037709519649871
33,63,25,0.3968253968253968,0.5574702611460239
34,41,23,0.5609756097560976,0.5557048720635617
35,57,41,0.7192982456140351,0.5654912427521881
36,40,24,0.6,0.5644708345889228
37,55,22,0.4,0.5469383670564553
38,36,18,0.5,0.5445306624015596
39,62,29,0.46774193548387094,0.5206915982399148
40,36,12,0.3333333333333333,0.5116213034553343
41,36,19,0.5277777777777778,0.5068787560298601
42,31,17,0.5483870967741935,0.48246287762416845
43,50,30,0.6,0.48246287762416845
44,30,12,0.4,0.48246287762416845
45,33,15,0.45454545454545453,0.47596937113066196
46,26,24,0.9230769230769231,0.541017226501098
47,40,24,0.6,0.579112464596336
48,19,13,0.6842105263157895,0.6014600001017663
49,28,18,0.6428571428571429,0.614955720970759
50,20,9,0.45,0.5935271495421877
51,28,13,0.4642857142857143,0.6027108230115754
52,15,6,0.4,0.5949186152193677
53,26,9,0.34615384615384615,0.5125010328017853
54,16,7,0.4375,0.4892867470874995
55,21,10,0.47619047619047616,0.4595695970695976
56,14,6,0.42857142857142855,0.42895735217163844
57,28,14,0.5,0.43610020931449556
58,13,6,0.46153846153846156,0.43570774463631656
59,22,15,0.6818181818181818,0.47596748489605684
60,18,8,0.4444444444444444,0.4900089989375709
61,39,14,0.358974358974359,0.47879105021962215
62,14,4,0.2857142857142857,0.4515801658658806
63,10,4,0.4,0.44749853321281946
64,7,1,0.14285714285714285,0.3964781250495541
65,15,11,0.7333333333333333,0.43530596387739295
66,3,0,0.0,0.3379033664747956
67,14,10,0.7142857142857143,0.37645211930926276
68,8,2,0.25,0.36088435374149713
69,19,15,0.7894736842105263,0.43284998209810294
70,10,3,0.3,0.41856426781238865
71,13,2,0.15384615384615385,0.4201341265251045
72,2,2,1.0,0.4582293646203426
73,13,7,0.5384615384615384,0.5351524415434195
74,6,0,0.0,0.43311162521688884
75,15,5,0.3333333333333333,0.44501638712165076
76,4,1,0.25,0.3679487179487184
77,6,7,1.1666666666666667,0.4917582417582423
78,5,1,0.2,0.4983516483516489
79,8,6,0.75,0.46263736263736327
80,10,8,0.8,0.5000000000000007
81,8,5,0.625,0.589285714285715
82,2,1,0.5,0.6130952380952388
83,5,0,0.0,0.5773809523809531
84,3,2,0.6666666666666666,0.5059523809523816
85,7,2,0.2857142857142857,0.5181972789115653
86,3,0,0.0,0.4110544217687081
87,3,1,0.3333333333333333,0.34438775510204145
88,4,1,0.25,0.29081632653061285
89,7,3,0.42857142857142855,0.2806122448979598
90,5,3,0.6,0.3663265306122455
91,5,3,0.6,0.356802721088436
92,2,0,0.0,0.3159863945578238
93,3,2,0.6666666666666666,0.411224489795919
94,2,1,0.5,0.4350340136054428
95,4,0,0.0,0.39931972789115705
97,6,2,0.3333333333333333,0.3857142857142864
98,1,0,0.0,0.30000000000000066
99,1,1,1.0,0.35714285714285776
100,2,2,1.0,0.5000000000000007
101,3,1,0.3333333333333333,0.45238095238095305
102,2,1,0.5,0.45238095238095305
103,2,0,0.0,0.45238095238095305
104,4,1,0.25,0.44047619047619113
105,1,0,0.0,0.44047619047619113
106,4,0,0.0,0.2976190476190483
107,2,0,0.0,0.1547619047619054
108,1,0,0.0,0.1071428571428578
109,1,1,1.0,0.17857142857142924
111,2,0,0.0,0.17857142857142924
113,1,0,0.0,0.14285714285714352
117,1,0,0.0,0.14285714285714352
118,1,0,0.0,0.14285714285714352
119,3,0,0.0,0.14285714285714352
124,1,0,0.0,0.14285714285714352
125,1,0,0.0,0.0
