"time","s","e","a","p","sym","sev","r","d"
0.0,19000,1000,0,0,0,0,0,0
0.5,19000,892,52,56,0,0,0,0
1.0,18957,824,111,95,7,0,6,0
1.5,18898,781,158,134,14,0,15,0
2.0,18761,815,199,159,34,1,31,0
2.5,18655,818,239,186,54,1,47,0
3.0,18445,924,260,204,76,6,85,0
3.5,18312,933,288,233,102,8,123,1
4.0,18022,1073,329,280,115,16,164,1
4.5,17791,1164,360,308,142,23,207,5
5.0,17417,1371,396,355,157,35,263,6
5.5,17309,1298,422,422,180,43,316,10
6.0,17094,1308,463,467,222,47,381,18
6.5,16960,1233,484,517,240,70,474,22
7.0,16676,1323,522,543,264,79,559,34
7.5,16227,1579,522,563,294,101,674,40
8.0,15660,1926,580,595,323,119,746,51
8.5,15254,2072,599,656,373,118,860,68
9.0,14599,2449,648,723,386,135,981,79
9.5,14207,2519,694,782,440,152,1112,94
10.0,13625,2728,767,858,494,175,1240,113
10.5,13252,2743,829,932,538,203,1374,129
11.0,12663,2909,930,1007,603,213,1520,155
11.5,12368,2795,995,1077,655,246,1691,173
12.0,11802,2958,1061,1117,731,275,1861,195
12.5,11514,2815,1117,1164,801,301,2059,229
13.0,11083,2831,1164,1214,865,336,2248,259
13.5,10779,2728,1228,1253,908,369,2435,300
14.0,10361,2759,1256,1264,969,384,2662,345
14.5,10031,2613,1317,1309,999,433,2910,388
15.0,9532,2720,1331,1293,1062,475,3152,435
15.5,9239,2566,1363,1313,1114,498,3422,485
16.0,8802,2599,1334,1345,1135,534,3721,530
16.5,8507,2496,1329,1338,1193,551,3988,598
17.0,8082,2508,1330,1345,1219,595,4266,655
17.5,7827,2329,1353,1362,1230,634,4552,713
18.0,7409,2366,1310,1345,1233,656,4889,792
18.5,7149,2269,1291,1333,1249,672,5174,863
19.0,6764,2284,1275,1307,1246,707,5481,936
19.5,6528,2169,1262,1276,1271,723,5756,1015
20.0,6228,2095,1275,1249,1275,729,6047,1102
20.5,6025,1944,1241,1244,1269,744,6351,1182
21.0,5729,1923,1215,1210,1280,735,6634,1274
21.5,5512,1828,1178,1181,1243,781,6925,1352
22.0,5188,1879,1112,1136,1248,805,7201,1431
22.5,4989,1789,1099,1098,1256,798,7448,1523
23.0,4714,1771,1077,1059,1245,804,7719,1611
23.5,4520,1670,1068,1016,1221,819,7990,1696
24.0,4264,1649,1021,991,1183,828,8280,1784
24.5,4116,1521,993,977,1148,818,8546,1881
25.0,3892,1493,935,943,1137,801,8828,1971
25.5,3766,1395,883,911,1113,793,9074,2065
26.0,3585,1346,866,871,1097,803,9277,2155
26.5,3495,1233,812,856,1052,807,9516,2229
27.0,3342,1186,793,809,1042,787,9724,2317
27.5,3266,1054,777,798,1002,755,9938,2410
28.0,3141,967,740,776,971,753,10149,2503
28.5,3034,928,694,718,932,728,10365,2601
29.0,2899,919,663,674,874,722,10566,2683
29.5,2817,833,625,666,818,737,10742,2762
30.0,2685,827,599,621,806,735,10881,2846
30.5,2621,749,561,616,794,677,11050,2932
31.0,2498,739,542,574,768,658,11214,3007
31.5,2450,659,513,551,744,629,11367,3087
32.0,2361,626,476,535,689,604,11546,3163
32.5,2298,584,458,510,654,593,11666,3237
33.0,2228,560,416,462,644,550,11828,3312
33.5,2202,500,397,426,613,535,11948,3379
34.0,2148,471,365,393,589,531,12064,3439
34.5,2117,429,336,378,539,512,12179,3510
35.0,2062,416,318,359,507,503,12273,3562
35.5,2022,384,298,332,472,486,12384,3622
36.0,1971,370,280,302,462,446,12479,3690
36.5,1936,358,259,265,442,423,12568,3749
37.0,1898,333,239,258,415,396,12654,3807
37.5,1878,288,231,233,390,394,12738,3848
38.0,1834,287,224,213,354,360,12831,3897
38.5,1813,261,199,203,317,362,12913,3932
39.0,1781,241,195,198,303,344,12965,3973
39.5,1761,222,178,178,294,325,13029,4013
40.0,1739,208,165,170,279,295,13090,4054
40.5,1726,195,151,149,262,288,13144,4085
41.0,1707,178,141,138,248,255,13208,4125
41.5,1690,165,135,122,234,237,13270,4147
42.0,1673,151,125,119,203,234,13316,4179
42.5,1658,141,105,113,195,224,13364,4200
43.0,1634,131,108,105,186,207,13402,4227
43.5,1626,113,102,104,168,197,13436,4254
44.0,1611,104,92,111,147,190,13471,4274
44.5,1601,98,81,100,141,175,13501,4303
45.0,1589,95,63,94,127,171,13541,4320
45.5,1580,89,53,94,122,152,13565,4345
46.0,1571,82,52,85,119,134,13592,4365
46.5,1565,75,50,79,114,134,13607,4376
47.0,1549,76,49,73,103,133,13626,4391
47.5,1543,70,44,69,92,124,13649,4409
48.0,1541,61,39,68,85,109,13671,4426
48.5,1536,56,40,56,85,95,13685,4447
49.0,1532,47,39,54,79,89,13697,4463
49.5,1523,44,40,51,78,83,13710,4471
50.0,1516,40,42,48,74,78,13724,4478
50.5,1513,38,36,45,68,77,13735,4488
51.0,1503,38,39,41,64,67,13747,4501
51.5,1500,35,34,38,60,63,13765,4505
52.0,1496,31,30,34,60,58,13778,4513
52.5,1491,33,30,32,51,53,13788,4522
53.0,1488,31,27,27,48,49,13803,4527
53.5,1488,24,25,26,41,52,13813,4531
54.0,1482,23,23,23,40,55,13817,4537
54.5,1480,21,18,19,40,51,13828,4543
55.0,1480,20,16,18,37,41,13833,4555
55.5,1478,18,14,18,30,45,13839,4558
56.0,1478,17,12,13,31,38,13845,4566
56.5,1475,17,11,14,26,34,13850,4573
57.0,1473,18,8,14,23,31,13854,4579
57.5,1470,17,10,15,22,24,13857,4585
58.0,1470,11,11,16,23,18,13861,4590
58.5,1470,8,10,13,24,19,13865,4591
59.0,1467,10,9,11,21,16,13870,4596
59.5,1467,9,6,11,19,15,13874,4599
60.0,1467,6,6,12,18,10,13876,4605
60.5,1467,6,4,10,18,7,13881,4607
61.0,1467,6,3,7,16,8,13885,4608
61.5,1467,6,1,6,16,8,13888,4608
62.0,1467,5,2,5,15,7,13890,4609
62.5,1467,4,3,5,13,8,13890,4610
63.0,1467,4,3,4,12,8,13892,4610
63.5,1467,4,3,2,13,7,13894,4610
64.0,1467,3,3,2,12,6,13896,4611
64.5,1467,1,4,2,11,6,13897,4612
