"time","newInfectors","newInfections","r","sevenDayAverageR"
0.0,1000,2772,2.772,2.772
0.5,43,129,3.0,2.886
1.0,59,184,3.1186440677966103,2.96354802259887
1.5,137,405,2.9562043795620436,2.9617121118396637
2.0,106,304,2.8679245283018866,2.9429545951321083
2.5,210,521,2.480952380952381,2.865954226102154
3.0,133,319,2.398496240601504,2.799174513887775
3.5,290,674,2.3241379310344827,2.7397949410311133
4.0,231,451,1.9523809523809523,2.652304497847762
4.5,374,783,2.093582887700535,2.5964323368330393
5.0,108,182,1.6851851851851851,2.5135916866832346
5.5,215,326,1.5162790697674418,2.430482301940252
6.0,134,176,1.3134328358208955,2.3445554199310705
6.5,284,386,1.3591549295774648,2.2741696706200987
7.0,449,527,1.1737193763919822,2.160006768933812
7.5,567,670,1.181657848324515,2.030125186671277
8.0,406,445,1.0960591133004927,1.8856548327786975
8.5,655,693,1.0580152671755725,1.7500698961796637
9.0,392,399,1.0178571428571428,1.6179222257907533
9.5,582,502,0.8625429553264605,1.502321552531759
10.0,373,319,0.8552278820375335,1.3920880983486181
10.5,589,485,0.8234295415959253,1.28489464196015
11.0,295,263,0.8915254237288136,1.2091192470564258
11.5,566,424,0.7491166077738516,1.113085941347377
12.0,288,234,0.8125,1.050751285262721
12.5,431,326,0.7563805104408353,0.9964728167393918
13.0,304,227,0.7467105263157895,0.9559926517747414
13.5,418,340,0.8133971291866029,0.9170099517468228
14.0,330,231,0.7,0.8831728534331097
14.5,499,357,0.7154308617234469,0.8498709258187477
15.0,293,185,0.6313993174061433,0.8166809403977228
15.5,437,290,0.6636155606407322,0.7885095327880912
16.0,295,200,0.6779661016949152,0.7642316012765036
16.5,425,257,0.6047058823529412,0.7458146674926808
17.0,255,153,0.6,0.7275841044899998
17.5,418,245,0.5861244019138756,0.7106337373698535
18.0,260,116,0.4461538461538462,0.6788214818287843
18.5,385,203,0.5272727272727272,0.6629754903644184
19.0,236,99,0.4194915254237288,0.6349034564661132
19.5,300,157,0.5233333333333333,0.6182572295298632
20.0,203,75,0.3694581280788177,0.5913106296557938
20.5,296,108,0.36486486486486486,0.5592726107756697
21.0,217,98,0.45161290322580644,0.5415306752917987
21.5,324,153,0.4722222222222222,0.5241586296131397
22.0,199,71,0.35678391959798994,0.5045432440554145
22.5,275,100,0.36363636363636365,0.4831161585551024
23.0,194,80,0.41237113402061853,0.46414508943550986
23.5,256,110,0.4296875,0.4516437764102998
24.0,148,55,0.3716216216216216,0.4353310350975585
24.5,224,76,0.3392857142857143,0.4176997002669756
25.0,126,46,0.36507936507936506,0.41190866590451264
25.5,181,69,0.3812154696132597,0.40147600464312205
26.0,90,19,0.2111111111111111,0.3865916893350779
26.5,153,39,0.2549019607843137,0.3674180198672908
27.0,76,18,0.23684210526315788,0.35794544680902934
27.5,125,37,0.296,0.35302652789011046
28.0,107,30,0.2803738317757009,0.34079516564367435
28.5,135,37,0.2740740740740741,0.32664172649023515
29.0,82,25,0.3048780487804878,0.322934164288985
29.5,132,36,0.2727272727272727,0.31644065779547853
30.0,64,10,0.15625,0.29814629107972
30.5,123,42,0.34146341463414637,0.2918445706964448
31.0,48,9,0.1875,0.2786930262949004
31.5,89,18,0.20224719101123595,0.26890456034672333
32.0,63,16,0.25396825396825395,0.2609680524102154
32.5,70,13,0.18571428571428572,0.24700368213171725
33.0,26,4,0.15384615384615385,0.24291332804136315
33.5,54,13,0.24074074074074073,0.2419018123239651
34.0,31,12,0.3870967741935484,0.25263428867613585
34.5,55,12,0.21818181818181817,0.2470758471176943
35.0,40,7,0.175,0.23954914484800138
35.5,51,20,0.39215686274509803,0.2479836297530745
36.0,35,9,0.2571428571428571,0.24457397320752947
36.5,38,9,0.23684210526315788,0.2420107469600927
37.0,20,5,0.25,0.24870717553152127
37.5,44,14,0.3181818181818182,0.247044204356355
38.0,21,7,0.3333333333333333,0.2574608710230217
38.5,32,9,0.28125,0.2631039288079334
39.0,20,6,0.3,0.2663919106673438
39.5,22,6,0.2727272727272727,0.27260712402541426
40.0,13,2,0.15384615384615385,0.27260712402541426
40.5,19,3,0.15789473684210525,0.2666895523183689
41.0,17,3,0.17647058823529413,0.2516448247499221
41.5,17,5,0.29411764705882354,0.25706881252685104
42.0,15,2,0.13333333333333333,0.2540926220506606
42.5,24,10,0.4166666666666667,0.2558433223307726
43.0,8,2,0.25,0.25533311824913996
43.5,15,5,0.3333333333333333,0.2622253488255811
44.0,10,1,0.1,0.2515110631112954
44.5,12,1,0.08333333333333333,0.2347361713364036
45.0,9,3,0.3333333333333333,0.2347361713364036
45.5,9,2,0.2222222222222222,0.23051990149513377
46.0,6,1,0.16666666666666666,0.22099609197132425
46.5,16,4,0.25,0.21937271534794764
47.0,6,1,0.16666666666666666,0.22028846626369855
47.5,2,0,0.0,0.20901027077497675
48.0,5,1,0.2,0.21069094304388433
48.5,4,0,0.0,0.1896825396825398
49.0,9,1,0.1111111111111111,0.18809523809523823
49.5,7,0,0.0,0.15833333333333346
50.0,3,0,0.0,0.14047619047619062
50.5,10,3,0.3,0.13809523809523822
51.0,3,0,0.0,0.13095238095238107
51.5,4,1,0.25,0.14285714285714296
52.0,5,0,0.0,0.11904761904761915
52.5,3,0,0.0,0.10317460317460328
53.5,6,0,0.0,0.09126984126984138
54.0,2,1,0.5,0.10912698412698423
55.0,2,0,0.0,0.09722222222222232
56.0,3,0,0.0,0.09722222222222232
56.5,2,0,0.0,0.08293650793650804
57.0,3,0,0.0,0.08293650793650804
58.5,3,0,0.0,0.0750000000000001
67.0,1,1,1.0,0.14642857142857155
80.0,1,0,0.0,0.14642857142857155
