"time","s","e","a","p","sym","sev","r","d"
0.0,19000,1000,0,0,0,0,0,0
0.5,19000,892,52,56,0,0,0,0
1.0,18957,824,111,95,7,0,6,0
1.5,18897,782,158,134,13,1,15,0
2.0,18765,811,201,158,32,3,30,0
2.5,18662,813,230,191,48,4,52,0
3.0,18452,918,259,207,74,6,84,0
3.5,18299,943,295,240,90,12,121,0
4.0,18027,1072,337,288,108,14,154,0
4.5,17835,1115,380,308,140,17,203,2
5.0,17439,1347,408,351,169,27,254,5
5.5,17308,1289,439,397,196,39,324,8
6.0,17097,1320,466,437,231,56,383,10
6.5,16952,1270,478,482,270,68,465,15
7.0,16674,1345,535,505,297,83,538,23
7.5,16223,1584,558,536,329,104,636,30
8.0,15597,1979,598,576,364,117,725,44
8.5,15203,2068,653,680,367,134,840,55
9.0,14533,2454,712,706,424,140,955,76
9.5,14088,2569,763,799,459,153,1078,91
10.0,13473,2856,837,859,483,175,1215,102
10.5,13114,2814,953,919,546,191,1337,126
11.0,12544,2981,1037,967,624,210,1490,147
11.5,12191,2923,1080,1026,666,257,1694,163
12.0,11648,3033,1158,1087,694,294,1892,194
12.5,11375,2885,1214,1128,774,311,2086,227
13.0,10985,2842,1255,1168,842,335,2310,263
13.5,10736,2630,1309,1227,889,368,2542,299
14.0,10315,2633,1297,1282,943,394,2802,334
14.5,9945,2586,1331,1329,989,436,3014,370
15.0,9471,2670,1317,1319,1045,480,3286,412
15.5,9154,2579,1343,1332,1057,517,3559,459
16.0,8704,2611,1340,1323,1133,548,3834,507
16.5,8412,2504,1349,1306,1181,588,4092,568
17.0,7990,2532,1335,1314,1207,610,4371,641
17.5,7719,2380,1319,1334,1243,627,4667,711
18.0,7317,2402,1274,1335,1265,649,4969,789
18.5,7050,2288,1279,1333,1256,682,5242,870
19.0,6687,2309,1260,1289,1287,669,5530,969
19.5,6491,2126,1239,1259,1322,681,5838,1044
20.0,6199,2061,1220,1249,1313,733,6114,1111
20.5,6011,1929,1171,1208,1317,757,6415,1192
21.0,5728,1914,1139,1151,1315,772,6690,1291
21.5,5536,1767,1116,1149,1242,814,7004,1372
22.0,5233,1774,1095,1125,1240,804,7269,1460
22.5,5049,1646,1050,1105,1231,819,7547,1553
23.0,4770,1642,1012,1053,1221,859,7809,1634
23.5,4605,1545,968,1011,1205,859,8072,1735
24.0,4321,1578,925,966,1176,858,8338,1838
24.5,4149,1486,892,950,1163,853,8574,1933
25.0,3934,1481,847,934,1114,857,8809,2024
25.5,3781,1416,824,900,1084,822,9041,2132
26.0,3615,1365,789,871,1064,791,9270,2235
26.5,3528,1230,744,855,1035,801,9502,2305
27.0,3411,1140,745,825,1007,786,9680,2406
27.5,3328,1017,735,781,986,766,9890,2497
28.0,3216,950,701,727,967,767,10086,2586
28.5,3119,868,686,709,908,746,10271,2693
29.0,2985,858,638,675,871,731,10471,2771
29.5,2886,810,590,638,869,707,10649,2851
30.0,2778,777,574,597,832,681,10821,2940
30.5,2691,737,529,550,812,668,10992,3021
31.0,2608,694,508,533,755,662,11154,3086
31.5,2550,634,486,502,721,625,11297,3185
32.0,2455,634,444,472,684,613,11444,3254
32.5,2403,585,420,439,671,582,11566,3334
33.0,2318,566,391,412,647,545,11710,3411
33.5,2279,499,391,386,614,532,11818,3481
34.0,2220,473,374,363,595,501,11930,3544
34.5,2188,417,353,345,572,489,12039,3597
35.0,2141,407,322,322,519,487,12148,3654
35.5,2106,367,305,314,482,470,12242,3714
36.0,2048,365,280,293,465,425,12341,3783
36.5,2004,357,268,275,417,420,12421,3838
37.0,1963,340,253,249,401,394,12508,3892
37.5,1935,301,251,227,393,364,12588,3941
38.0,1909,279,231,217,362,333,12671,3998
38.5,1887,260,209,200,343,311,12742,4048
39.0,1857,244,197,188,322,290,12811,4091
39.5,1841,221,196,166,287,296,12867,4126
40.0,1818,212,170,161,255,276,12943,4165
40.5,1804,197,154,151,232,256,13002,4204
41.0,1778,182,150,144,227,231,13046,4242
41.5,1769,157,144,147,201,216,13094,4272
42.0,1758,143,138,132,200,201,13129,4299
42.5,1748,116,132,134,183,194,13171,4322
43.0,1724,127,117,111,184,179,13213,4345
43.5,1716,118,102,97,185,167,13247,4368
44.0,1698,117,93,92,174,152,13275,4399
44.5,1690,103,92,83,162,141,13309,4420
45.0,1681,93,81,85,143,135,13343,4439
45.5,1672,86,77,75,134,123,13375,4458
46.0,1658,75,77,67,132,119,13400,4472
46.5,1655,66,75,61,117,111,13425,4490
47.0,1643,67,66,56,108,113,13444,4503
47.5,1641,61,55,54,98,101,13469,4521
48.0,1630,59,52,49,92,100,13489,4529
48.5,1627,56,43,49,82,95,13510,4538
49.0,1620,58,37,40,80,89,13527,4549
49.5,1612,56,32,43,67,87,13547,4556
50.0,1605,50,32,38,70,81,13557,4567
50.5,1599,43,33,40,65,68,13570,4582
51.0,1592,46,27,36,63,64,13581,4591
51.5,1586,46,26,32,55,63,13592,4600
52.0,1584,43,21,34,44,65,13602,4607
52.5,1581,40,17,29,40,58,13618,4617
53.0,1575,34,20,30,38,48,13627,4628
53.5,1571,34,17,28,34,46,13639,4631
54.0,1569,27,14,30,32,42,13649,4637
54.5,1568,24,14,26,32,39,13654,4643
55.0,1563,23,17,25,31,39,13658,4644
55.5,1562,18,17,28,29,38,13662,4646
56.0,1560,17,12,28,27,33,13672,4651
56.5,1560,15,12,29,20,31,13675,4658
57.0,1557,15,11,27,19,27,13681,4663
57.5,1557,13,9,24,18,24,13689,4666
58.0,1555,12,9,20,23,21,13691,4669
58.5,1555,9,12,19,21,19,13694,4671
59.0,1554,10,10,16,22,19,13697,4672
59.5,1554,9,8,13,21,17,13702,4676
60.0,1553,8,8,13,20,16,13704,4678
60.5,1553,8,6,10,18,17,13709,4679
61.0,1553,7,3,7,19,13,13713,4685
61.5,1553,6,3,7,19,10,13715,4687
62.0,1553,6,3,6,19,11,13715,4687
62.5,1553,5,4,4,16,11,13717,4690
63.0,1552,3,4,5,15,11,13718,4692
63.5,1551,4,3,5,15,8,13720,4694
64.0,1550,4,4,3,15,7,13721,4696
64.5,1550,4,3,2,14,7,13723,4697
