"time","newInfectors","newInfections","r","sevenDayAverageR"
0.0,1000,2777,2.777,2.777
0.5,43,122,2.8372093023255816,2.807104651162791
1.0,60,166,2.7666666666666666,2.7936253229974164
1.5,132,435,3.2954545454545454,2.9190826286116986
2.0,103,301,2.9223300970873787,2.9197321223068347
2.5,210,544,2.5904761904761906,2.8648561336683938
3.0,153,378,2.4705882352941178,2.8085321481863548
3.5,272,565,2.077205882352941,2.717116364957178
4.0,192,405,2.109375,2.6495895466286026
4.5,396,887,2.23989898989899,2.6086204909556416
5.0,131,163,1.2442748091603053,2.4845890653378837
5.5,211,312,1.4786729857819905,2.4007627253748924
6.0,145,202,1.393103448275862,2.3232504732903516
6.5,278,359,1.29136690647482,2.2495445042320994
7.0,451,627,1.3902439024390243,2.1504904972634584
7.5,626,719,1.148562300319489,2.029872854263023
8.0,394,404,1.0253807106598984,1.9054952859768257
8.5,670,667,0.9955223880597015,1.7412144175914794
9.0,445,408,0.9168539325842696,1.5979661201269717
9.5,615,504,0.8195121951219512,1.4714686918873832
10.0,359,324,0.9025069637883009,1.359462886779825
10.5,570,469,0.8228070175438597,1.2698629678648905
11.0,353,259,0.7337110481586402,1.171601257019079
11.5,543,438,0.8066298342541437,1.0692248887587328
12.0,273,258,0.945054945054945,1.0478520413226355
12.5,390,351,0.9,1.0065182566239221
13.0,249,146,0.5863453815261044,0.9488926804275107
13.5,421,309,0.7339667458432304,0.90907838323954
14.0,370,258,0.6972972972972973,0.8595821971579881
14.5,474,320,0.6751054852320675,0.8257638532231724
15.0,317,204,0.6435331230283912,0.7984890255352075
15.5,450,298,0.6622222222222223,0.7746818708325305
16.0,292,150,0.5136986301369864,0.7458850635148674
16.5,422,239,0.566350710900474,0.7278021003561904
17.0,271,169,0.6236162361623616,0.7078813340971947
17.5,402,216,0.5373134328358209,0.6874889351894777
18.0,267,115,0.4307116104868914,0.6658461182129243
18.5,363,193,0.5316804407713499,0.6462068758212961
19.0,196,92,0.46938775510204084,0.6122306479675172
19.5,292,120,0.410958904109589,0.5772991411182022
20.0,188,85,0.4521276595744681,0.5677121609787996
20.5,283,106,0.3745583038869258,0.5420401294104923
21.0,192,85,0.4427083333333333,0.5238552034130662
21.5,303,145,0.47854785478547857,0.5098153726668814
22.0,184,88,0.4782608695652174,0.49801021170522614
22.5,279,110,0.3942652329749104,0.4788704267589896
23.0,165,71,0.4303030303030303,0.4729135981994213
23.5,284,109,0.38380281690140844,0.4598744629137737
24.0,172,55,0.31976744186046513,0.43817097760649537
24.5,215,77,0.3581395348837209,0.42537284203848824
25.0,153,50,0.32679738562091504,0.4179503974052042
25.5,166,56,0.3373493975903614,0.40406960860656216
26.0,87,16,0.1839080459770115,0.38367820081191717
26.5,117,39,0.3333333333333333,0.3781335171850418
27.0,83,29,0.3493975903614458,0.37079565509839735
27.5,112,24,0.21428571428571427,0.35934761298402507
28.0,97,29,0.29896907216494845,0.349080522900569
28.5,134,36,0.26865671641791045,0.334088298731457
29.0,99,21,0.21212121212121213,0.3150783231997423
29.5,108,30,0.2777777777777778,0.30675779068566145
30.0,87,26,0.2988505747126437,0.29736832957206233
30.5,83,25,0.30120481927710846,0.29146847259889813
31.0,58,22,0.3793103448275862,0.29572153709654964
31.5,95,22,0.23157894736842105,0.286681495131171
32.0,52,18,0.34615384615384615,0.2880640994549518
32.5,85,17,0.2,0.27825342819849747
33.0,39,14,0.358974358974359,0.2907581648411651
33.5,59,10,0.1694915254237288,0.27905517856190765
34.0,32,12,0.375,0.2808839221075186
34.5,47,12,0.2553191489361702,0.2838148817254083
35.0,35,15,0.42857142857142855,0.2930721928972998
35.5,58,17,0.29310344827586204,0.2948183880300106
36.0,44,8,0.18181818181818182,0.29265388586550845
36.5,41,17,0.4146341463414634,0.30242934076291456
37.0,28,4,0.14285714285714285,0.29128695277323596
37.5,26,8,0.3076923076923077,0.291750344802893
38.0,22,5,0.22727272727272727,0.28089051497754597
38.5,30,11,0.36666666666666664,0.29053963778456354
39.0,16,1,0.0625,0.2702786487735745
39.5,23,3,0.13043478260869565,0.2653097046741956
40.0,14,8,0.5714285714285714,0.2804850055637822
40.5,26,2,0.07692307692307693,0.27387297352802137
41.0,9,2,0.2222222222222222,0.26296027511532294
41.5,11,0,0.0,0.24472319304845364
42.0,10,4,0.4,0.24268237672192303
42.5,24,5,0.20833333333333334,0.2366273685117424
43.0,8,1,0.125,0.23256892695330086
43.5,18,1,0.05555555555555555,0.20692045618287885
44.0,8,5,0.625,0.24135923169308296
44.5,9,0,0.0,0.21938120971506095
45.0,9,2,0.2222222222222222,0.2190204593543106
45.5,14,3,0.21428571428571427,0.208136105612814
46.0,3,0,0.0,0.2036718198985283
46.5,12,1,0.08333333333333333,0.20030743066457385
47.0,2,0,0.0,0.15949110413396164
47.5,11,1,0.09090909090909091,0.1604901051329626
48.0,3,1,0.3333333333333333,0.16842661306947054
48.5,7,2,0.2857142857142857,0.18883477633477666
49.0,8,1,0.125,0.16919191919191953
49.5,7,0,0.0,0.15431096681096715
50.0,6,0,0.0,0.1453823953823957
50.5,7,0,0.0,0.14141414141414174
51.0,6,4,0.6666666666666666,0.1443903318903322
51.5,2,0,0.0,0.1443903318903322
52.0,3,0,0.0,0.12851731601731634
52.5,6,2,0.3333333333333333,0.13702071737786056
53.0,4,1,0.25,0.1548778602350034
53.5,2,0,0.0,0.14892547928262245
54.0,1,0,0.0,0.14892547928262245
54.5,5,1,0.2,0.15671768707483028
55.0,1,1,1.0,0.20433673469387786
55.5,2,1,0.5,0.21964285714285747
56.5,3,1,0.3333333333333333,0.23452380952380986
57.5,2,0,0.0,0.23452380952380986
58.5,1,1,1.0,0.3059523809523813
59.5,1,0,0.0,0.3059523809523813
62.5,1,0,0.0,0.2583333333333337
63.0,1,0,0.0,0.2583333333333337
63.5,1,1,1.0,0.3297619047619052
66.0,1,0,0.0,0.30595238095238136
67.5,1,0,0.0,0.2880952380952385
78.5,1,0,0.0,0.2880952380952385
